episode,step,s0,s1,s2,s3,a,r,s_0,s_1,s_2,s_3,p0,p1
2,5,-0.035,-0.259,0.078,1.208,0,1.0,-0.041,-0.495,0.102,2.408,0.57,0.2
2,6,-0.041,-0.495,0.102,2.408,0,1.0,-0.05,-0.731,0.15,3.629,0.57,0.2
2,7,-0.05,-0.731,0.15,3.629,0,1.0,-0.065,-0.968,0.223,4.883,0.57,0.2
3,0,-0.041,-0.026,0.03,0.008,0,1.0,-0.042,-0.212,0.03,0.094,0.05,1.7
3,1,-0.042,-0.212,0.03,0.094,0,1.0,-0.046,-0.398,0.032,0.18,0.05,1.7
3,2,-0.046,-0.398,0.032,0.18,1,1.0,-0.054,-0.212,0.036,0.1,0.05,1.7
3,3,-0.054,-0.212,0.036,0.1,0,1.0,-0.058,-0.398,0.038,0.186,0.05,1.7
3,4,-0.058,-0.398,0.038,0.186,0,1.0,-0.066,-0.584,0.041,0.272,0.05,1.7
3,5,-0.066,-0.584,0.041,0.272,1,1.0,-0.078,-0.398,0.047,0.193,0.05,1.7
3,6,-0.078,-0.398,0.047,0.193,1,1.0,-0.086,-0.213,0.051,0.114,0.05,1.7
3,7,-0.086,-0.213,0.051,0.114,1,1.0,-0.09,-0.028,0.053,0.036,0.05,1.7
3,8,-0.09,-0.028,0.053,0.036,1,1.0,-0.091,0.158,0.054,-0.043,0.05,1.7
3,9,-0.091,0.158,0.054,-0.043,1,1.0,-0.088,0.343,0.053,-0.121,0.05,1.7
3,10,-0.088,0.343,0.053,-0.121,1,1.0,-0.081,0.529,0.05,-0.199,0.05,1.7
3,11,-0.081,0.529,0.05,-0.199,1,1.0,-0.07,0.714,0.047,-0.277,0.05,1.7
3,12,-0.07,0.714,0.047,-0.277,0,1.0,-0.056,0.528,0.041,-0.19,0.05,1.7
3,13,-0.056,0.528,0.041,-0.19,1,1.0,-0.045,0.714,0.037,-0.269,0.05,1.7
3,14,-0.045,0.714,0.037,-0.269,1,1.0,-0.031,0.899,0.032,-0.349,0.05,1.7
3,15,-0.031,0.899,0.032,-0.349,0,1.0,-0.013,0.713,0.025,-0.263,0.05,1.7
3,16,-0.013,0.713,0.025,-0.263,1,1.0,0.001,0.899,0.02,-0.344,0.05,1.7
3,17,0.001,0.899,0.02,-0.344,1,1.0,0.019,1.084,0.013,-0.425,0.05,1.7
3,18,0.019,1.084,0.013,-0.425,1,1.0,0.041,1.27,0.004,-0.507,0.05,1.7
3,19,0.041,1.27,0.004,-0.507,0,1.0,0.066,1.084,-0.006,-0.424,0.05,1.7
3,20,0.066,1.084,-0.006,-0.424,1,1.0,0.088,1.27,-0.014,-0.507,0.05,1.7
3,21,0.088,1.27,-0.014,-0.507,0,1.0,0.113,1.084,-0.025,-0.426,0.05,1.7
3,22,0.113,1.084,-0.025,-0.426,0,1.0,0.135,0.899,-0.033,-0.345,0.05,1.7
3,23,0.135,0.899,-0.033,-0.345,1,1.0,0.153,1.085,-0.04,-0.431,0.05,1.7
3,24,0.153,1.085,-0.04,-0.431,0,1.0,0.175,0.899,-0.049,-0.351,0.05,1.7
3,25,0.175,0.899,-0.049,-0.351,1,1.0,0.193,1.085,-0.056,-0.439,0.05,1.7
3,26,0.193,1.085,-0.056,-0.439,1,1.0,0.214,1.271,-0.064,-0.527,0.05,1.7
3,27,0.214,1.271,-0.064,-0.527,1,1.0,0.24,1.456,-0.075,-0.615,0.05,1.7
3,28,0.24,1.456,-0.075,-0.615,0,1.0,0.269,1.271,-0.087,-0.539,0.05,1.7
3,29,0.269,1.271,-0.087,-0.539,0,1.0,0.294,1.086,-0.098,-0.464,0.05,1.7
3,30,0.294,1.086,-0.098,-0.464,0,1.0,0.316,0.901,-0.107,-0.39,0.05,1.7
3,31,0.316,0.901,-0.107,-0.39,0,1.0,0.334,0.716,-0.115,-0.317,0.05,1.7
3,32,0.334,0.716,-0.115,-0.317,1,1.0,0.348,0.902,-0.121,-0.41,0.05,1.7
3,33,0.348,0.902,-0.121,-0.41,0,1.0,0.366,0.717,-0.13,-0.339,0.05,1.7
3,34,0.366,0.717,-0.13,-0.339,1,1.0,0.381,0.903,-0.136,-0.432,0.05,1.7
3,35,0.381,0.903,-0.136,-0.432,0,1.0,0.399,0.718,-0.145,-0.362,0.05,1.7
3,36,0.399,0.718,-0.145,-0.362,0,1.0,0.413,0.533,-0.152,-0.293,0.05,1.7
3,37,0.413,0.533,-0.152,-0.293,0,1.0,0.424,0.348,-0.158,-0.225,0.05,1.7
3,38,0.424,0.348,-0.158,-0.225,1,1.0,0.431,0.534,-0.163,-0.321,0.05,1.7
3,39,0.431,0.534,-0.163,-0.321,1,1.0,0.441,0.72,-0.169,-0.417,0.05,1.7
3,40,0.441,0.72,-0.169,-0.417,1,1.0,0.456,0.906,-0.177,-0.514,0.05,1.7
3,41,0.456,0.906,-0.177,-0.514,1,1.0,0.474,1.092,-0.188,-0.611,0.05,1.7
3,42,0.474,1.092,-0.188,-0.611,0,1.0,0.496,0.908,-0.2,-0.546,0.05,1.7
3,43,0.496,0.908,-0.2,-0.546,1,1.0,0.514,1.094,-0.211,-0.645,0.05,1.7
4,0,0.044,0.001,0.048,-0.042,0,1.0,0.044,-0.191,0.047,0.187,0.93,1.7
4,1,0.044,-0.191,0.047,0.187,0,1.0,0.041,-0.383,0.051,0.417,0.93,1.7
4,2,0.041,-0.383,0.051,0.417,0,1.0,0.033,-0.576,0.059,0.646,0.93,1.7
4,3,0.033,-0.576,0.059,0.646,0,1.0,0.021,-0.768,0.072,0.878,0.93,1.7
4,4,0.021,-0.768,0.072,0.878,1,1.0,0.006,-0.577,0.089,0.678,0.93,1.7
4,5,0.006,-0.577,0.089,0.678,1,1.0,-0.006,-0.386,0.103,0.483,0.93,1.7
4,6,-0.006,-0.386,0.103,0.483,0,1.0,-0.013,-0.579,0.113,0.721,0.93,1.7
4,7,-0.013,-0.579,0.113,0.721,0,1.0,-0.025,-0.771,0.127,0.96,0.93,1.7
4,8,-0.025,-0.771,0.127,0.96,0,1.0,-0.04,-0.964,0.146,1.201,0.93,1.7
4,9,-0.04,-0.964,0.146,1.201,0,1.0,-0.06,-1.156,0.17,1.443,0.93,1.7
4,10,-0.06,-1.156,0.17,1.443,0,1.0,-0.083,-1.349,0.199,1.687,0.93,1.7
4,11,-0.083,-1.349,0.199,1.687,1,1.0,-0.11,-1.159,0.233,1.528,0.93,1.7
5,0,0.031,0.031,0.002,-0.021,1,1.0,0.031,0.22,0.001,-0.181,0.63,1.5
5,1,0.031,0.22,0.001,-0.181,0,1.0,0.036,0.031,-0.003,-0.021,0.63,1.5
5,2,0.036,0.031,-0.003,-0.021,0,1.0,0.036,-0.158,-0.003,0.138,0.63,1.5
5,3,0.036,-0.158,-0.003,0.138,1,1.0,0.033,0.031,-0.0,-0.022,0.63,1.5
5,4,0.033,0.031,-0.0,-0.022,0,1.0,0.034,-0.158,-0.001,0.137,0.63,1.5
5,5,0.034,-0.158,-0.001,0.137,1,1.0,0.03,0.031,0.002,-0.022,0.63,1.5
5,6,0.03,0.031,0.002,-0.022,1,1.0,0.031,0.22,0.002,-0.181,0.63,1.5
5,7,0.031,0.22,0.002,-0.181,0,1.0,0.035,0.031,-0.002,-0.021,0.63,1.5
5,8,0.035,0.031,-0.002,-0.021,0,1.0,0.036,-0.158,-0.002,0.138,0.63,1.5
5,9,0.036,-0.158,-0.002,0.138,1,1.0,0.033,0.031,0.0,-0.022,0.63,1.5
5,10,0.033,0.031,0.0,-0.022,0,1.0,0.033,-0.158,-0.0,0.137,0.63,1.5
5,11,0.033,-0.158,-0.0,0.137,1,1.0,0.03,0.031,0.003,-0.022,0.63,1.5
5,12,0.03,0.031,0.003,-0.022,1,1.0,0.031,0.22,0.002,-0.181,0.63,1.5
5,13,0.031,0.22,0.002,-0.181,0,1.0,0.035,0.031,-0.001,-0.021,0.63,1.5
5,14,0.035,0.031,-0.001,-0.021,0,1.0,0.036,-0.158,-0.002,0.138,0.63,1.5
5,15,0.036,-0.158,-0.002,0.138,1,1.0,0.033,0.031,0.001,-0.022,0.63,1.5
5,16,0.033,0.031,0.001,-0.022,1,1.0,0.033,0.22,0.001,-0.181,0.63,1.5
5,17,0.033,0.22,0.001,-0.181,1,1.0,0.038,0.409,-0.003,-0.34,0.63,1.5
5,18,0.038,0.409,-0.003,-0.34,0,1.0,0.046,0.22,-0.01,-0.181,0.63,1.5
5,19,0.046,0.22,-0.01,-0.181,1,1.0,0.05,0.409,-0.013,-0.342,0.63,1.5
5,20,0.05,0.409,-0.013,-0.342,0,1.0,0.059,0.22,-0.02,-0.185,0.63,1.5
5,21,0.059,0.22,-0.02,-0.185,0,1.0,0.063,0.031,-0.024,-0.03,0.63,1.5
5,22,0.063,0.031,-0.024,-0.03,0,1.0,0.064,-0.158,-0.025,0.126,0.63,1.5
5,23,0.064,-0.158,-0.025,0.126,1,1.0,0.06,0.032,-0.022,-0.038,0.63,1.5
5,24,0.06,0.032,-0.022,-0.038,1,1.0,0.061,0.221,-0.023,-0.201,0.63,1.5
5,25,0.061,0.221,-0.023,-0.201,0,1.0,0.065,0.032,-0.027,-0.046,0.63,1.5
5,26,0.065,0.032,-0.027,-0.046,1,1.0,0.066,0.221,-0.028,-0.21,0.63,1.5
5,27,0.066,0.221,-0.028,-0.21,0,1.0,0.071,0.032,-0.032,-0.055,0.63,1.5
5,28,0.071,0.032,-0.032,-0.055,1,1.0,0.071,0.222,-0.033,-0.22,0.63,1.5
5,29,0.071,0.222,-0.033,-0.22,0,1.0,0.076,0.033,-0.038,-0.066,0.63,1.5
5,30,0.076,0.033,-0.038,-0.066,0,1.0,0.076,-0.156,-0.039,0.086,0.63,1.5
5,31,0.076,-0.156,-0.039,0.086,0,1.0,0.073,-0.345,-0.037,0.239,0.63,1.5
5,32,0.073,-0.345,-0.037,0.239,1,1.0,0.066,-0.155,-0.032,0.073,0.63,1.5
5,33,0.066,-0.155,-0.032,0.073,1,1.0,0.063,0.034,-0.031,-0.091,0.63,1.5
5,34,0.063,0.034,-0.031,-0.091,1,1.0,0.064,0.223,-0.033,-0.256,0.63,1.5
5,35,0.064,0.223,-0.033,-0.256,0,1.0,0.068,0.034,-0.038,-0.102,0.63,1.5
5,36,0.068,0.034,-0.038,-0.102,1,1.0,0.069,0.224,-0.04,-0.268,0.63,1.5
5,37,0.069,0.224,-0.04,-0.268,1,1.0,0.073,0.413,-0.045,-0.434,0.63,1.5
5,38,0.073,0.413,-0.045,-0.434,1,1.0,0.082,0.603,-0.054,-0.6,0.63,1.5
5,39,0.082,0.603,-0.054,-0.6,0,1.0,0.094,0.414,-0.066,-0.451,0.63,1.5
5,40,0.094,0.414,-0.066,-0.451,0,1.0,0.102,0.225,-0.075,-0.304,0.63,1.5
5,41,0.102,0.225,-0.075,-0.304,0,1.0,0.107,0.037,-0.081,-0.158,0.63,1.5
5,42,0.107,0.037,-0.081,-0.158,1,1.0,0.107,0.227,-0.084,-0.33,0.63,1.5
5,43,0.107,0.227,-0.084,-0.33,0,1.0,0.112,0.038,-0.091,-0.186,0.63,1.5
5,44,0.112,0.038,-0.091,-0.186,1,1.0,0.113,0.228,-0.094,-0.36,0.63,1.5
5,45,0.113,0.228,-0.094,-0.36,0,1.0,0.117,0.04,-0.102,-0.218,0.63,1.5
5,46,0.117,0.04,-0.102,-0.218,1,1.0,0.118,0.229,-0.106,-0.393,0.63,1.5
5,47,0.118,0.229,-0.106,-0.393,1,1.0,0.123,0.419,-0.114,-0.568,0.63,1.5
5,48,0.123,0.419,-0.114,-0.568,0,1.0,0.131,0.231,-0.125,-0.43,0.63,1.5
5,49,0.131,0.231,-0.125,-0.43,1,1.0,0.136,0.421,-0.134,-0.608,0.63,1.5
5,50,0.136,0.421,-0.134,-0.608,1,1.0,0.144,0.611,-0.146,-0.786,0.63,1.5
5,51,0.144,0.611,-0.146,-0.786,1,1.0,0.156,0.8,-0.162,-0.966,0.63,1.5
5,52,0.156,0.8,-0.162,-0.966,1,1.0,0.172,0.99,-0.181,-1.147,0.63,1.5
5,53,0.172,0.99,-0.181,-1.147,0,1.0,0.192,0.803,-0.204,-1.024,0.63,1.5
5,54,0.192,0.803,-0.204,-1.024,1,1.0,0.208,0.993,-0.225,-1.209,0.63,1.5
6,0,0.004,-0.016,-0.013,-0.013,1,1.0,0.004,0.259,-0.013,-2.054,0.97,0.2
6,1,0.004,0.259,-0.013,-2.054,0,1.0,0.009,-0.013,-0.054,-0.069,0.97,0.2
6,2,0.009,-0.013,-0.054,-0.069,0,1.0,0.008,-0.28,-0.056,1.812,0.97,0.2
6,3,0.008,-0.28,-0.056,1.812,1,1.0,0.003,-0.003,-0.02,-0.304,0.97,0.2
6,4,0.003,-0.003,-0.02,-0.304,1,1.0,0.003,0.273,-0.026,-2.358,0.97,0.2
6,5,0.003,0.273,-0.026,-2.358,1,1.0,0.008,0.548,-0.073,-4.423,0.97,0.2
6,6,0.008,0.548,-0.073,-4.423,0,1.0,0.019,0.281,-0.161,-2.577,0.97,0.2
6,7,0.019,0.281,-0.161,-2.577,1,1.0,0.025,0.561,-0.213,-4.791,0.97,0.2
7,0,0.013,0.04,0.028,-0.027,0,1.0,0.013,-0.149,0.027,0.129,0.27,1.1
7,1,0.013,-0.149,0.027,0.129,0,1.0,0.01,-0.338,0.03,0.285,0.27,1.1
7,2,0.01,-0.338,0.03,0.285,0,1.0,0.004,-0.527,0.035,0.442,0.27,1.1
7,3,0.004,-0.527,0.035,0.442,1,1.0,-0.007,-0.339,0.044,0.296,0.27,1.1
7,4,-0.007,-0.339,0.044,0.296,0,1.0,-0.014,-0.528,0.05,0.455,0.27,1.1
7,5,-0.014,-0.528,0.05,0.455,1,1.0,-0.024,-0.339,0.059,0.311,0.27,1.1
7,6,-0.024,-0.339,0.059,0.311,1,1.0,-0.031,-0.151,0.065,0.169,0.27,1.1
7,7,-0.031,-0.151,0.065,0.169,1,1.0,-0.034,0.037,0.069,0.029,0.27,1.1
7,8,-0.034,0.037,0.069,0.029,1,1.0,-0.033,0.225,0.069,-0.112,0.27,1.1
7,9,-0.033,0.225,0.069,-0.112,0,1.0,-0.029,0.036,0.067,0.051,0.27,1.1
7,10,-0.029,0.036,0.067,0.051,1,1.0,-0.028,0.224,0.068,-0.089,0.27,1.1
7,11,-0.028,0.224,0.068,-0.089,1,1.0,-0.024,0.413,0.066,-0.23,0.27,1.1
7,12,-0.024,0.413,0.066,-0.23,1,1.0,-0.015,0.601,0.062,-0.37,0.27,1.1
7,13,-0.015,0.601,0.062,-0.37,1,1.0,-0.003,0.789,0.054,-0.512,0.27,1.1
7,14,-0.003,0.789,0.054,-0.512,1,1.0,0.012,0.977,0.044,-0.654,0.27,1.1
7,15,0.012,0.977,0.044,-0.654,1,1.0,0.032,1.166,0.031,-0.799,0.27,1.1
7,16,0.032,1.166,0.031,-0.799,0,1.0,0.055,0.977,0.015,-0.642,0.27,1.1
7,17,0.055,0.977,0.015,-0.642,0,1.0,0.075,0.788,0.002,-0.488,0.27,1.1
7,18,0.075,0.788,0.002,-0.488,1,1.0,0.091,0.977,-0.008,-0.639,0.27,1.1
7,19,0.091,0.977,-0.008,-0.639,0,1.0,0.11,0.788,-0.02,-0.488,0.27,1.1
7,20,0.11,0.788,-0.02,-0.488,0,1.0,0.126,0.599,-0.03,-0.34,0.27,1.1
7,21,0.126,0.599,-0.03,-0.34,1,1.0,0.138,0.788,-0.037,-0.497,0.27,1.1
7,22,0.138,0.788,-0.037,-0.497,1,1.0,0.154,0.977,-0.047,-0.654,0.27,1.1
7,23,0.154,0.977,-0.047,-0.654,1,1.0,0.173,1.166,-0.06,-0.814,0.27,1.1
7,24,0.173,1.166,-0.06,-0.814,0,1.0,0.196,0.978,-0.076,-0.672,0.27,1.1
7,25,0.196,0.978,-0.076,-0.672,1,1.0,0.216,1.167,-0.09,-0.836,0.27,1.1
7,26,0.216,1.167,-0.09,-0.836,0,1.0,0.239,0.979,-0.106,-0.699,0.27,1.1
7,27,0.239,0.979,-0.106,-0.699,1,1.0,0.259,1.169,-0.12,-0.867,0.27,1.1
7,28,0.259,1.169,-0.12,-0.867,1,1.0,0.282,1.358,-0.138,-1.037,0.27,1.1
7,29,0.282,1.358,-0.138,-1.037,1,1.0,0.309,1.547,-0.158,-1.209,0.27,1.1
7,30,0.309,1.547,-0.158,-1.209,1,1.0,0.34,1.737,-0.183,-1.384,0.27,1.1
7,31,0.34,1.737,-0.183,-1.384,0,1.0,0.375,1.549,-0.21,-1.265,0.27,1.1
8,0,-0.017,0.049,-0.018,0.029,1,1.0,-0.016,0.249,-0.018,-0.377,0.63,0.6
8,1,-0.016,0.249,-0.018,-0.377,1,1.0,-0.011,0.449,-0.025,-0.783,0.63,0.6
8,2,-0.011,0.449,-0.025,-0.783,1,1.0,-0.002,0.65,-0.041,-1.192,0.63,0.6
8,3,-0.002,0.65,-0.041,-1.192,0,1.0,0.011,0.45,-0.065,-0.812,0.63,0.6
8,4,0.011,0.45,-0.065,-0.812,0,1.0,0.02,0.252,-0.081,-0.443,0.63,0.6
8,5,0.02,0.252,-0.081,-0.443,1,1.0,0.025,0.453,-0.09,-0.872,0.63,0.6
8,6,0.025,0.453,-0.09,-0.872,1,1.0,0.034,0.655,-0.107,-1.305,0.63,0.6
8,7,0.034,0.655,-0.107,-1.305,0,1.0,0.047,0.457,-0.133,-0.957,0.63,0.6
8,8,0.047,0.457,-0.133,-0.957,1,1.0,0.056,0.659,-0.152,-1.403,0.63,0.6
8,9,0.056,0.659,-0.152,-1.403,0,1.0,0.069,0.462,-0.18,-1.08,0.63,0.6
8,10,0.069,0.462,-0.18,-1.08,1,1.0,0.078,0.664,-0.202,-1.537,0.63,0.6
8,11,0.078,0.664,-0.202,-1.537,1,1.0,0.092,0.866,-0.233,-1.999,0.63,0.6
9,0,0.037,-0.021,0.01,0.028,1,1.0,0.037,0.174,0.011,-0.264,0.11,0.5
9,1,0.037,0.174,0.011,-0.264,0,1.0,0.04,-0.022,0.006,0.034,0.11,0.5
9,2,0.04,-0.022,0.006,0.034,0,1.0,0.04,-0.217,0.006,0.331,0.11,0.5
9,3,0.04,-0.217,0.006,0.331,1,1.0,0.035,-0.022,0.013,0.038,0.11,0.5
9,4,0.035,-0.022,0.013,0.038,0,1.0,0.035,-0.217,0.014,0.337,0.11,0.5
9,5,0.035,-0.217,0.014,0.337,1,1.0,0.031,-0.022,0.02,0.047,0.11,0.5
9,6,0.031,-0.022,0.02,0.047,1,1.0,0.03,0.173,0.021,-0.242,0.11,0.5
9,7,0.03,0.173,0.021,-0.242,0,1.0,0.034,-0.023,0.017,0.06,0.11,0.5
9,8,0.034,-0.023,0.017,0.06,0,1.0,0.033,-0.218,0.018,0.36,0.11,0.5
9,9,0.033,-0.218,0.018,0.36,0,1.0,0.029,-0.414,0.025,0.66,0.11,0.5
9,10,0.029,-0.414,0.025,0.66,1,1.0,0.02,-0.219,0.038,0.374,0.11,0.5
9,11,0.02,-0.219,0.038,0.374,1,1.0,0.016,-0.024,0.046,0.091,0.11,0.5
9,12,0.016,-0.024,0.046,0.091,0,1.0,0.016,-0.22,0.047,0.4,0.11,0.5
9,13,0.016,-0.22,0.047,0.4,0,1.0,0.011,-0.416,0.055,0.71,0.11,0.5
9,14,0.011,-0.416,0.055,0.71,0,1.0,0.003,-0.612,0.07,1.021,0.11,0.5
9,15,0.003,-0.612,0.07,1.021,0,1.0,-0.009,-0.808,0.09,1.337,0.11,0.5
9,16,-0.009,-0.808,0.09,1.337,1,1.0,-0.026,-0.614,0.117,1.072,0.11,0.5
9,17,-0.026,-0.614,0.117,1.072,1,1.0,-0.038,-0.42,0.138,0.817,0.11,0.5
9,18,-0.038,-0.42,0.138,0.817,1,1.0,-0.046,-0.227,0.155,0.569,0.11,0.5
9,19,-0.046,-0.227,0.155,0.569,0,1.0,-0.051,-0.424,0.166,0.908,0.11,0.5
9,20,-0.051,-0.424,0.166,0.908,0,1.0,-0.059,-0.621,0.184,1.251,0.11,0.5
9,21,-0.059,-0.621,0.184,1.251,1,1.0,-0.072,-0.429,0.209,1.019,0.11,0.5
9,22,-0.072,-0.429,0.209,1.019,0,1.0,-0.08,-0.626,0.229,1.372,0.11,0.5
