episode,step,s0,s1,s2,s3,a,r,s_0,s_1,s_2,s_3,p0,p1
1,6,-0.028,0.046,0.0,0.018,1,1.0,-0.027,0.236,0.001,-0.162,0.12594187674598867,0.8292876189356602
1,7,-0.027,0.236,0.001,-0.162,1,1.0,-0.022,0.426,-0.003,-0.342,0.12594187674598867,0.8292876189356602
1,8,-0.022,0.426,-0.003,-0.342,1,1.0,-0.013,0.616,-0.009,-0.522,0.12594187674598867,0.8292876189356602
1,9,-0.013,0.616,-0.009,-0.522,0,1.0,-0.001,0.426,-0.02,-0.344,0.12594187674598867,0.8292876189356602
1,10,-0.001,0.426,-0.02,-0.344,0,1.0,0.008,0.237,-0.027,-0.168,0.12594187674598867,0.8292876189356602
1,11,0.008,0.237,-0.027,-0.168,1,1.0,0.012,0.427,-0.03,-0.353,0.12594187674598867,0.8292876189356602
1,12,0.012,0.427,-0.03,-0.353,1,1.0,0.021,0.617,-0.037,-0.539,0.12594187674598867,0.8292876189356602
1,13,0.021,0.617,-0.037,-0.539,1,1.0,0.033,0.807,-0.048,-0.726,0.12594187674598867,0.8292876189356602
1,14,0.033,0.807,-0.048,-0.726,0,1.0,0.049,0.618,-0.062,-0.555,0.12594187674598867,0.8292876189356602
1,15,0.049,0.618,-0.062,-0.555,1,1.0,0.062,0.808,-0.073,-0.747,0.12594187674598867,0.8292876189356602
1,16,0.062,0.808,-0.073,-0.747,0,1.0,0.078,0.619,-0.088,-0.582,0.12594187674598867,0.8292876189356602
1,17,0.078,0.619,-0.088,-0.582,0,1.0,0.09,0.43,-0.1,-0.42,0.12594187674598867,0.8292876189356602
1,18,0.09,0.43,-0.1,-0.42,0,1.0,0.099,0.241,-0.108,-0.26,0.12594187674598867,0.8292876189356602
1,19,0.099,0.241,-0.108,-0.26,1,1.0,0.104,0.431,-0.114,-0.46,0.12594187674598867,0.8292876189356602
1,20,0.104,0.431,-0.114,-0.46,1,1.0,0.112,0.622,-0.123,-0.66,0.12594187674598867,0.8292876189356602
1,21,0.112,0.622,-0.123,-0.66,1,1.0,0.125,0.813,-0.136,-0.862,0.12594187674598867,0.8292876189356602
1,22,0.125,0.813,-0.136,-0.862,1,1.0,0.141,1.004,-0.153,-1.066,0.12594187674598867,0.8292876189356602
1,23,0.141,1.004,-0.153,-1.066,0,1.0,0.161,0.816,-0.175,-0.918,0.12594187674598867,0.8292876189356602
1,24,0.161,0.816,-0.175,-0.918,0,1.0,0.177,0.627,-0.193,-0.775,0.12594187674598867,0.8292876189356602
1,25,0.177,0.627,-0.193,-0.775,0,1.0,0.19,0.439,-0.208,-0.636,0.12594187674598867,0.8292876189356602
1,26,0.19,0.439,-0.208,-0.636,0,1.0,0.199,0.251,-0.221,-0.501,0.12594187674598867,0.8292876189356602
2,0,-0.024,-0.02,0.031,-0.041,0,1.0,-0.024,-0.207,0.031,0.07,0.15985500054596188,1.4308541050149441
2,1,-0.024,-0.207,0.031,0.07,0,1.0,-0.028,-0.394,0.032,0.18,0.15985500054596188,1.4308541050149441
2,2,-0.028,-0.394,0.032,0.18,0,1.0,-0.036,-0.581,0.036,0.291,0.15985500054596188,1.4308541050149441
2,3,-0.036,-0.581,0.036,0.291,1,1.0,-0.048,-0.394,0.041,0.188,0.15985500054596188,1.4308541050149441
2,4,-0.048,-0.394,0.041,0.188,1,1.0,-0.056,-0.208,0.045,0.086,0.15985500054596188,1.4308541050149441
2,5,-0.056,-0.208,0.045,0.086,0,1.0,-0.06,-0.395,0.047,0.198,0.15985500054596188,1.4308541050149441
2,6,-0.06,-0.395,0.047,0.198,0,1.0,-0.068,-0.582,0.051,0.31,0.15985500054596188,1.4308541050149441
2,7,-0.068,-0.582,0.051,0.31,0,1.0,-0.079,-0.768,0.057,0.423,0.15985500054596188,1.4308541050149441
2,8,-0.079,-0.768,0.057,0.423,1,1.0,-0.095,-0.582,0.066,0.323,0.15985500054596188,1.4308541050149441
2,9,-0.095,-0.582,0.066,0.323,0,1.0,-0.106,-0.769,0.072,0.437,0.15985500054596188,1.4308541050149441
2,10,-0.106,-0.769,0.072,0.437,0,1.0,-0.122,-0.956,0.081,0.552,0.15985500054596188,1.4308541050149441
2,11,-0.122,-0.956,0.081,0.552,0,1.0,-0.141,-1.143,0.092,0.667,0.15985500054596188,1.4308541050149441
2,12,-0.141,-1.143,0.092,0.667,0,1.0,-0.164,-1.33,0.105,0.784,0.15985500054596188,1.4308541050149441
2,13,-0.164,-1.33,0.105,0.784,1,1.0,-0.19,-1.144,0.121,0.69,0.15985500054596188,1.4308541050149441
2,14,-0.19,-1.144,0.121,0.69,1,1.0,-0.213,-0.958,0.135,0.598,0.15985500054596188,1.4308541050149441
2,15,-0.213,-0.958,0.135,0.598,1,1.0,-0.232,-0.772,0.147,0.508,0.15985500054596188,1.4308541050149441
2,16,-0.232,-0.772,0.147,0.508,1,1.0,-0.248,-0.586,0.157,0.419,0.15985500054596188,1.4308541050149441
2,17,-0.248,-0.586,0.157,0.419,1,1.0,-0.26,-0.401,0.165,0.332,0.15985500054596188,1.4308541050149441
2,18,-0.26,-0.401,0.165,0.332,0,1.0,-0.268,-0.588,0.172,0.456,0.15985500054596188,1.4308541050149441
2,19,-0.268,-0.588,0.172,0.456,1,1.0,-0.279,-0.402,0.181,0.37,0.15985500054596188,1.4308541050149441
2,20,-0.279,-0.402,0.181,0.37,0,1.0,-0.287,-0.59,0.188,0.496,0.15985500054596188,1.4308541050149441
2,21,-0.287,-0.59,0.188,0.496,0,1.0,-0.299,-0.777,0.198,0.622,0.15985500054596188,1.4308541050149441
2,22,-0.299,-0.777,0.198,0.622,0,1.0,-0.315,-0.964,0.211,0.749,0.15985500054596188,1.4308541050149441
3,0,-0.041,-0.026,0.03,0.008,1,1.0,-0.042,0.182,0.03,-0.567,0.1246662838321873,0.2504382527828622
3,1,-0.042,0.182,0.03,-0.567,0,1.0,-0.038,-0.028,0.019,0.047,0.1246662838321873,0.2504382527828622
3,2,-0.038,-0.028,0.019,0.047,0,1.0,-0.039,-0.237,0.02,0.654,0.1246662838321873,0.2504382527828622
3,3,-0.039,-0.237,0.02,0.654,1,1.0,-0.044,-0.029,0.033,0.072,0.1246662838321873,0.2504382527828622
3,4,-0.044,-0.029,0.033,0.072,0,1.0,-0.044,-0.239,0.034,0.688,0.1246662838321873,0.2504382527828622
3,5,-0.044,-0.239,0.034,0.688,1,1.0,-0.049,-0.031,0.048,0.115,0.1246662838321873,0.2504382527828622
3,6,-0.049,-0.031,0.048,0.115,1,1.0,-0.05,0.176,0.05,-0.448,0.1246662838321873,0.2504382527828622
3,7,-0.05,0.176,0.05,-0.448,0,1.0,-0.046,-0.034,0.041,0.178,0.1246662838321873,0.2504382527828622
3,8,-0.046,-0.034,0.041,0.178,1,1.0,-0.047,0.174,0.045,-0.39,0.1246662838321873,0.2504382527828622
3,9,-0.047,0.174,0.045,-0.39,0,1.0,-0.043,-0.036,0.037,0.233,0.1246662838321873,0.2504382527828622
3,10,-0.043,-0.036,0.037,0.233,0,1.0,-0.044,-0.246,0.042,0.852,0.1246662838321873,0.2504382527828622
3,11,-0.044,-0.246,0.042,0.852,1,1.0,-0.049,-0.039,0.059,0.284,0.1246662838321873,0.2504382527828622
3,12,-0.049,-0.039,0.059,0.284,0,1.0,-0.05,-0.249,0.065,0.916,0.1246662838321873,0.2504382527828622
3,13,-0.05,-0.249,0.065,0.916,0,1.0,-0.055,-0.46,0.083,1.551,0.1246662838321873,0.2504382527828622
3,14,-0.055,-0.46,0.083,1.551,0,1.0,-0.064,-0.671,0.114,2.196,0.1246662838321873,0.2504382527828622
3,15,-0.064,-0.671,0.114,2.196,0,1.0,-0.077,-0.882,0.158,2.858,0.1246662838321873,0.2504382527828622
3,16,-0.077,-0.882,0.158,2.858,0,1.0,-0.095,-1.093,0.215,3.541,0.1246662838321873,0.2504382527828622
4,0,0.044,0.001,0.048,-0.042,0,1.0,0.044,-0.214,0.047,0.684,0.5781161131451714,0.3251984731685291
4,1,0.044,-0.214,0.047,0.684,1,1.0,0.04,-0.002,0.06,0.028,0.5781161131451714,0.3251984731685291
4,2,0.04,-0.002,0.06,0.028,1,1.0,0.04,0.209,0.061,-0.616,0.5781161131451714,0.3251984731685291
4,3,0.04,0.209,0.061,-0.616,0,1.0,0.044,-0.006,0.049,0.119,0.5781161131451714,0.3251984731685291
4,4,0.044,-0.006,0.049,0.119,1,1.0,0.044,0.205,0.051,-0.535,0.5781161131451714,0.3251984731685291
4,5,0.044,0.205,0.051,-0.535,0,1.0,0.048,-0.009,0.04,0.193,0.5781161131451714,0.3251984731685291
4,6,0.048,-0.009,0.04,0.193,1,1.0,0.048,0.202,0.044,-0.468,0.5781161131451714,0.3251984731685291
4,7,0.048,0.202,0.044,-0.468,0,1.0,0.052,-0.012,0.035,0.255,0.5781161131451714,0.3251984731685291
4,8,0.052,-0.012,0.035,0.255,0,1.0,0.052,-0.227,0.04,0.972,0.5781161131451714,0.3251984731685291
4,9,0.052,-0.227,0.04,0.972,1,1.0,0.047,-0.015,0.059,0.311,0.5781161131451714,0.3251984731685291
4,10,0.047,-0.015,0.059,0.311,0,1.0,0.047,-0.23,0.066,1.045,0.5781161131451714,0.3251984731685291
4,11,0.047,-0.23,0.066,1.045,0,1.0,0.042,-0.445,0.087,1.782,0.5781161131451714,0.3251984731685291
4,12,0.042,-0.445,0.087,1.782,0,1.0,0.033,-0.661,0.122,2.531,0.5781161131451714,0.3251984731685291
4,13,0.033,-0.661,0.122,2.531,0,1.0,0.02,-0.876,0.173,3.299,0.5781161131451714,0.3251984731685291
4,14,0.02,-0.876,0.173,3.299,0,1.0,0.003,-1.092,0.239,4.088,0.5781161131451714,0.3251984731685291
5,0,0.031,0.031,0.002,-0.021,1,1.0,0.031,0.221,0.001,-0.209,0.3551867425587211,0.9591949897295139
5,1,0.031,0.221,0.001,-0.209,1,1.0,0.036,0.411,-0.003,-0.396,0.3551867425587211,0.9591949897295139
5,2,0.036,0.411,-0.003,-0.396,0,1.0,0.044,0.221,-0.011,-0.209,0.3551867425587211,0.9591949897295139
5,3,0.044,0.221,-0.011,-0.209,0,1.0,0.048,0.031,-0.015,-0.024,0.3551867425587211,0.9591949897295139
5,4,0.048,0.031,-0.015,-0.024,0,1.0,0.049,-0.159,-0.016,0.161,0.3551867425587211,0.9591949897295139
5,5,0.049,-0.159,-0.016,0.161,1,1.0,0.046,0.031,-0.012,-0.03,0.3551867425587211,0.9591949897295139
5,6,0.046,0.031,-0.012,-0.03,1,1.0,0.046,0.222,-0.013,-0.22,0.3551867425587211,0.9591949897295139
5,7,0.046,0.222,-0.013,-0.22,0,1.0,0.051,0.031,-0.017,-0.035,0.3551867425587211,0.9591949897295139
5,8,0.051,0.031,-0.017,-0.035,0,1.0,0.051,-0.159,-0.018,0.149,0.3551867425587211,0.9591949897295139
5,9,0.051,-0.159,-0.018,0.149,0,1.0,0.048,-0.349,-0.015,0.333,0.3551867425587211,0.9591949897295139
5,10,0.048,-0.349,-0.015,0.333,0,1.0,0.041,-0.539,-0.009,0.517,0.3551867425587211,0.9591949897295139
5,11,0.041,-0.539,-0.009,0.517,1,1.0,0.03,-0.349,0.002,0.328,0.3551867425587211,0.9591949897295139
5,12,0.03,-0.349,0.002,0.328,0,1.0,0.023,-0.539,0.008,0.516,0.3551867425587211,0.9591949897295139
5,13,0.023,-0.539,0.008,0.516,1,1.0,0.013,-0.349,0.019,0.33,0.3551867425587211,0.9591949897295139
5,14,0.013,-0.349,0.019,0.33,0,1.0,0.006,-0.539,0.025,0.521,0.3551867425587211,0.9591949897295139
5,15,0.006,-0.539,0.025,0.521,1,1.0,-0.005,-0.349,0.036,0.339,0.3551867425587211,0.9591949897295139
5,16,-0.005,-0.349,0.036,0.339,0,1.0,-0.012,-0.54,0.043,0.534,0.3551867425587211,0.9591949897295139
5,17,-0.012,-0.54,0.043,0.534,0,1.0,-0.023,-0.731,0.053,0.73,0.3551867425587211,0.9591949897295139
5,18,-0.023,-0.731,0.053,0.73,1,1.0,-0.038,-0.541,0.068,0.553,0.3551867425587211,0.9591949897295139
5,19,-0.038,-0.541,0.068,0.553,1,1.0,-0.048,-0.351,0.079,0.38,0.3551867425587211,0.9591949897295139
5,20,-0.048,-0.351,0.079,0.38,1,1.0,-0.055,-0.161,0.086,0.209,0.3551867425587211,0.9591949897295139
5,21,-0.055,-0.161,0.086,0.209,0,1.0,-0.059,-0.353,0.091,0.413,0.3551867425587211,0.9591949897295139
5,22,-0.059,-0.353,0.091,0.413,0,1.0,-0.066,-0.544,0.099,0.618,0.3551867425587211,0.9591949897295139
5,23,-0.066,-0.544,0.099,0.618,0,1.0,-0.077,-0.735,0.111,0.823,0.3551867425587211,0.9591949897295139
5,24,-0.077,-0.735,0.111,0.823,0,1.0,-0.091,-0.926,0.128,1.031,0.3551867425587211,0.9591949897295139
5,25,-0.091,-0.926,0.128,1.031,0,1.0,-0.11,-1.117,0.148,1.242,0.3551867425587211,0.9591949897295139
5,26,-0.11,-1.117,0.148,1.242,0,1.0,-0.132,-1.308,0.173,1.456,0.3551867425587211,0.9591949897295139
5,27,-0.132,-1.308,0.173,1.456,0,1.0,-0.158,-1.499,0.202,1.673,0.3551867425587211,0.9591949897295139
5,28,-0.158,-1.499,0.202,1.673,0,1.0,-0.188,-1.691,0.236,1.894,0.3551867425587211,0.9591949897295139
6,0,0.004,-0.016,-0.013,-0.013,0,1.0,0.004,-0.203,-0.013,0.104,0.24515575369889558,1.3793967951445396
6,1,0.004,-0.203,-0.013,0.104,1,1.0,-0.001,-0.016,-0.011,-0.016,0.24515575369889558,1.3793967951445396
6,2,-0.001,-0.016,-0.011,-0.016,0,1.0,-0.001,-0.203,-0.012,0.101,0.24515575369889558,1.3793967951445396
6,3,-0.001,-0.203,-0.012,0.101,1,1.0,-0.005,-0.015,-0.01,-0.019,0.24515575369889558,1.3793967951445396
6,4,-0.005,-0.015,-0.01,-0.019,0,1.0,-0.005,-0.203,-0.01,0.099,0.24515575369889558,1.3793967951445396
6,5,-0.005,-0.203,-0.01,0.099,0,1.0,-0.009,-0.39,-0.008,0.216,0.24515575369889558,1.3793967951445396
6,6,-0.009,-0.39,-0.008,0.216,1,1.0,-0.017,-0.202,-0.004,0.096,0.24515575369889558,1.3793967951445396
6,7,-0.017,-0.202,-0.004,0.096,1,1.0,-0.021,-0.015,-0.002,-0.023,0.24515575369889558,1.3793967951445396
6,8,-0.021,-0.015,-0.002,-0.023,1,1.0,-0.021,0.172,-0.002,-0.142,0.24515575369889558,1.3793967951445396
6,9,-0.021,0.172,-0.002,-0.142,0,1.0,-0.018,-0.015,-0.005,-0.023,0.24515575369889558,1.3793967951445396
6,10,-0.018,-0.015,-0.005,-0.023,0,1.0,-0.018,-0.202,-0.005,0.095,0.24515575369889558,1.3793967951445396
6,11,-0.018,-0.202,-0.005,0.095,1,1.0,-0.022,-0.015,-0.004,-0.025,0.24515575369889558,1.3793967951445396
6,12,-0.022,-0.015,-0.004,-0.025,1,1.0,-0.023,0.172,-0.004,-0.144,0.24515575369889558,1.3793967951445396
6,13,-0.023,0.172,-0.004,-0.144,1,1.0,-0.019,0.359,-0.007,-0.263,0.24515575369889558,1.3793967951445396
6,14,-0.019,0.359,-0.007,-0.263,1,1.0,-0.012,0.547,-0.012,-0.383,0.24515575369889558,1.3793967951445396
6,15,-0.012,0.547,-0.012,-0.383,0,1.0,-0.001,0.359,-0.02,-0.265,0.24515575369889558,1.3793967951445396
6,16,-0.001,0.359,-0.02,-0.265,1,1.0,0.006,0.547,-0.025,-0.387,0.24515575369889558,1.3793967951445396
6,17,0.006,0.547,-0.025,-0.387,0,1.0,0.017,0.36,-0.033,-0.271,0.24515575369889558,1.3793967951445396
6,18,0.017,0.36,-0.033,-0.271,0,1.0,0.024,0.173,-0.038,-0.157,0.24515575369889558,1.3793967951445396
6,19,0.024,0.173,-0.038,-0.157,0,1.0,0.028,-0.014,-0.041,-0.043,0.24515575369889558,1.3793967951445396
6,20,0.028,-0.014,-0.041,-0.043,0,1.0,0.027,-0.201,-0.042,0.07,0.24515575369889558,1.3793967951445396
6,21,0.027,-0.201,-0.042,0.07,0,1.0,0.023,-0.388,-0.041,0.183,0.24515575369889558,1.3793967951445396
6,22,0.023,-0.388,-0.041,0.183,0,1.0,0.016,-0.575,-0.037,0.297,0.24515575369889558,1.3793967951445396
6,23,0.016,-0.575,-0.037,0.297,1,1.0,0.004,-0.388,-0.031,0.173,0.24515575369889558,1.3793967951445396
6,24,0.004,-0.388,-0.031,0.173,0,1.0,-0.004,-0.575,-0.028,0.288,0.24515575369889558,1.3793967951445396
6,25,-0.004,-0.575,-0.028,0.288,1,1.0,-0.015,-0.387,-0.022,0.166,0.24515575369889558,1.3793967951445396
6,26,-0.015,-0.387,-0.022,0.166,0,1.0,-0.023,-0.574,-0.019,0.281,0.24515575369889558,1.3793967951445396
6,27,-0.023,-0.574,-0.019,0.281,1,1.0,-0.034,-0.387,-0.013,0.16,0.24515575369889558,1.3793967951445396
6,28,-0.034,-0.387,-0.013,0.16,1,1.0,-0.042,-0.2,-0.01,0.04,0.24515575369889558,1.3793967951445396
6,29,-0.042,-0.2,-0.01,0.04,0,1.0,-0.046,-0.387,-0.009,0.157,0.24515575369889558,1.3793967951445396
6,30,-0.046,-0.387,-0.009,0.157,1,1.0,-0.054,-0.2,-0.006,0.038,0.24515575369889558,1.3793967951445396
6,31,-0.054,-0.2,-0.006,0.038,1,1.0,-0.058,-0.013,-0.005,-0.082,0.24515575369889558,1.3793967951445396
6,32,-0.058,-0.013,-0.005,-0.082,1,1.0,-0.058,0.175,-0.007,-0.201,0.24515575369889558,1.3793967951445396
6,33,-0.058,0.175,-0.007,-0.201,1,1.0,-0.055,0.362,-0.011,-0.321,0.24515575369889558,1.3793967951445396
6,34,-0.055,0.362,-0.011,-0.321,1,1.0,-0.047,0.549,-0.017,-0.441,0.24515575369889558,1.3793967951445396
6,35,-0.047,0.549,-0.017,-0.441,1,1.0,-0.036,0.737,-0.026,-0.562,0.24515575369889558,1.3793967951445396
6,36,-0.036,0.737,-0.026,-0.562,0,1.0,-0.022,0.549,-0.037,-0.447,0.24515575369889558,1.3793967951445396
6,37,-0.022,0.549,-0.037,-0.447,0,1.0,-0.011,0.362,-0.046,-0.333,0.24515575369889558,1.3793967951445396
6,38,-0.011,0.362,-0.046,-0.333,0,1.0,-0.003,0.176,-0.053,-0.22,0.24515575369889558,1.3793967951445396
6,39,-0.003,0.176,-0.053,-0.22,0,1.0,0.0,-0.011,-0.057,-0.108,0.24515575369889558,1.3793967951445396
6,40,0.0,-0.011,-0.057,-0.108,0,1.0,-0.0,-0.198,-0.06,0.003,0.24515575369889558,1.3793967951445396
6,41,-0.0,-0.198,-0.06,0.003,0,1.0,-0.004,-0.385,-0.06,0.113,0.24515575369889558,1.3793967951445396
6,42,-0.004,-0.385,-0.06,0.113,1,1.0,-0.012,-0.197,-0.057,-0.013,0.24515575369889558,1.3793967951445396
6,43,-0.012,-0.197,-0.057,-0.013,1,1.0,-0.016,-0.01,-0.057,-0.138,0.24515575369889558,1.3793967951445396
6,44,-0.016,-0.01,-0.057,-0.138,0,1.0,-0.016,-0.197,-0.06,-0.027,0.24515575369889558,1.3793967951445396
6,45,-0.016,-0.197,-0.06,-0.027,0,1.0,-0.02,-0.384,-0.061,0.083,0.24515575369889558,1.3793967951445396
6,46,-0.02,-0.384,-0.061,0.083,1,1.0,-0.028,-0.196,-0.059,-0.043,0.24515575369889558,1.3793967951445396
6,47,-0.028,-0.196,-0.059,-0.043,1,1.0,-0.031,-0.009,-0.06,-0.169,0.24515575369889558,1.3793967951445396
6,48,-0.031,-0.009,-0.06,-0.169,0,1.0,-0.032,-0.195,-0.063,-0.058,0.24515575369889558,1.3793967951445396
6,49,-0.032,-0.195,-0.063,-0.058,0,1.0,-0.036,-0.382,-0.065,0.052,0.24515575369889558,1.3793967951445396
6,50,-0.036,-0.382,-0.065,0.052,1,1.0,-0.043,-0.195,-0.063,-0.074,0.24515575369889558,1.3793967951445396
6,51,-0.043,-0.195,-0.063,-0.074,1,1.0,-0.047,-0.007,-0.065,-0.201,0.24515575369889558,1.3793967951445396
6,52,-0.047,-0.007,-0.065,-0.201,1,1.0,-0.047,0.18,-0.069,-0.327,0.24515575369889558,1.3793967951445396
6,53,-0.047,0.18,-0.069,-0.327,0,1.0,-0.044,-0.006,-0.076,-0.218,0.24515575369889558,1.3793967951445396
6,54,-0.044,-0.006,-0.076,-0.218,0,1.0,-0.044,-0.193,-0.08,-0.109,0.24515575369889558,1.3793967951445396
6,55,-0.044,-0.193,-0.08,-0.109,0,1.0,-0.048,-0.38,-0.082,-0.001,0.24515575369889558,1.3793967951445396
6,56,-0.048,-0.38,-0.082,-0.001,0,1.0,-0.055,-0.567,-0.082,0.106,0.24515575369889558,1.3793967951445396
6,57,-0.055,-0.567,-0.082,0.106,1,1.0,-0.067,-0.379,-0.08,-0.022,0.24515575369889558,1.3793967951445396
6,58,-0.067,-0.379,-0.08,-0.022,0,1.0,-0.074,-0.566,-0.08,0.086,0.24515575369889558,1.3793967951445396
6,59,-0.074,-0.566,-0.08,0.086,0,1.0,-0.085,-0.752,-0.079,0.194,0.24515575369889558,1.3793967951445396
6,60,-0.085,-0.752,-0.079,0.194,0,1.0,-0.1,-0.939,-0.075,0.302,0.24515575369889558,1.3793967951445396
6,61,-0.1,-0.939,-0.075,0.302,0,1.0,-0.119,-1.126,-0.069,0.41,0.24515575369889558,1.3793967951445396
6,62,-0.119,-1.126,-0.069,0.41,1,1.0,-0.142,-0.938,-0.061,0.283,0.24515575369889558,1.3793967951445396
6,63,-0.142,-0.938,-0.061,0.283,0,1.0,-0.161,-1.125,-0.055,0.394,0.24515575369889558,1.3793967951445396
6,64,-0.161,-1.125,-0.055,0.394,1,1.0,-0.183,-0.938,-0.047,0.269,0.24515575369889558,1.3793967951445396
6,65,-0.183,-0.938,-0.047,0.269,1,1.0,-0.202,-0.75,-0.042,0.144,0.24515575369889558,1.3793967951445396
6,66,-0.202,-0.75,-0.042,0.144,1,1.0,-0.217,-0.563,-0.039,0.02,0.24515575369889558,1.3793967951445396
6,67,-0.217,-0.563,-0.039,0.02,0,1.0,-0.228,-0.75,-0.038,0.134,0.24515575369889558,1.3793967951445396
6,68,-0.228,-0.75,-0.038,0.134,1,1.0,-0.243,-0.562,-0.036,0.01,0.24515575369889558,1.3793967951445396
6,69,-0.243,-0.562,-0.036,0.01,1,1.0,-0.254,-0.375,-0.035,-0.113,0.24515575369889558,1.3793967951445396
6,70,-0.254,-0.375,-0.035,-0.113,0,1.0,-0.262,-0.562,-0.038,0.001,0.24515575369889558,1.3793967951445396
6,71,-0.262,-0.562,-0.038,0.001,1,1.0,-0.273,-0.374,-0.038,-0.122,0.24515575369889558,1.3793967951445396
6,72,-0.273,-0.374,-0.038,-0.122,0,1.0,-0.28,-0.561,-0.04,-0.009,0.24515575369889558,1.3793967951445396
6,73,-0.28,-0.561,-0.04,-0.009,0,1.0,-0.292,-0.748,-0.04,0.105,0.24515575369889558,1.3793967951445396
6,74,-0.292,-0.748,-0.04,0.105,0,1.0,-0.307,-0.935,-0.038,0.218,0.24515575369889558,1.3793967951445396
6,75,-0.307,-0.935,-0.038,0.218,1,1.0,-0.325,-0.748,-0.034,0.095,0.24515575369889558,1.3793967951445396
6,76,-0.325,-0.748,-0.034,0.095,1,1.0,-0.34,-0.56,-0.032,-0.028,0.24515575369889558,1.3793967951445396
6,77,-0.34,-0.56,-0.032,-0.028,1,1.0,-0.352,-0.373,-0.033,-0.151,0.24515575369889558,1.3793967951445396
6,78,-0.352,-0.373,-0.033,-0.151,0,1.0,-0.359,-0.56,-0.036,-0.036,0.24515575369889558,1.3793967951445396
6,79,-0.359,-0.56,-0.036,-0.036,1,1.0,-0.37,-0.373,-0.036,-0.159,0.24515575369889558,1.3793967951445396
6,80,-0.37,-0.373,-0.036,-0.159,1,1.0,-0.378,-0.185,-0.039,-0.283,0.24515575369889558,1.3793967951445396
6,81,-0.378,-0.185,-0.039,-0.283,1,1.0,-0.381,0.002,-0.045,-0.406,0.24515575369889558,1.3793967951445396
6,82,-0.381,0.002,-0.045,-0.406,0,1.0,-0.381,-0.185,-0.053,-0.294,0.24515575369889558,1.3793967951445396
6,83,-0.381,-0.185,-0.053,-0.294,0,1.0,-0.385,-0.372,-0.059,-0.182,0.24515575369889558,1.3793967951445396
6,84,-0.385,-0.372,-0.059,-0.182,1,1.0,-0.392,-0.184,-0.063,-0.308,0.24515575369889558,1.3793967951445396
6,85,-0.392,-0.184,-0.063,-0.308,1,1.0,-0.396,0.003,-0.069,-0.434,0.24515575369889558,1.3793967951445396
6,86,-0.396,0.003,-0.069,-0.434,1,1.0,-0.396,0.191,-0.078,-0.561,0.24515575369889558,1.3793967951445396
6,87,-0.396,0.191,-0.078,-0.561,0,1.0,-0.392,0.004,-0.089,-0.453,0.24515575369889558,1.3793967951445396
6,88,-0.392,0.004,-0.089,-0.453,0,1.0,-0.392,-0.182,-0.098,-0.346,0.24515575369889558,1.3793967951445396
6,89,-0.392,-0.182,-0.098,-0.346,0,1.0,-0.396,-0.369,-0.105,-0.241,0.24515575369889558,1.3793967951445396
6,90,-0.396,-0.369,-0.105,-0.241,0,1.0,-0.403,-0.556,-0.11,-0.136,0.24515575369889558,1.3793967951445396
6,91,-0.403,-0.556,-0.11,-0.136,0,1.0,-0.414,-0.742,-0.112,-0.033,0.24515575369889558,1.3793967951445396
